document_id,title,file_type,extraction_status,document_type
9028fad7-2596-4984-9820-6110182acb14,invoice-template-us-dexter-750px.png,png,completed,invoice
d1f0a4dd-bb04-4e75-9a43-269a81fa8de8,67e5b68098cd6f7e0ba7f30c_download-invoice-5.webp,webp,completed,invoice
7a3ebddb-edb7-4e77-bb83-37510dee074c,67e5b680d2ddcbdbd6745dfc_download-invoice-3.webp,webp,completed,invoice
